인덱스,누적_용량(Ah),절대값_용량(Ah),전류(A),전압(V),
297,0.039579704,0.039579704,0.479588013,1.419994507,
298,0.039712924,0.039712924,0.479556885,1.420760498,
299,0.039846145,0.039846145,0.479619141,1.421832886,
300,0.039979364,0.039979364,0.479588013,1.422905273,
301,0.040112583,0.040112583,0.479588013,1.423824463,
302,0.040245802,0.040245802,0.479588013,1.424743652,
303,0.040379023,0.040379023,0.479556885,1.425662842,
304,0.040512243,0.040512243,0.479588013,1.426582031,
305,0.040645509,0.040645509,0.479805908,1.427654419,
306,0.040778812,0.040778812,0.47993042,1.42842041,
307,0.040912123,0.040912123,0.47993042,1.429645996,
308,0.041045435,0.041045435,0.47993042,1.430718384,
309,0.041178747,0.041178747,0.479899292,1.431484375,
310,0.041312058,0.041312058,0.479899292,1.432403564,
311,0.041445371,0.041445371,0.47993042,1.433322754,
312,0.041578682,0.041578682,0.47993042,1.433782349,
313,0.041711993,0.041711993,0.479899292,1.434854736,
314,0.041845306,0.041845306,0.47993042,1.435620728,
315,0.041978618,0.041978618,0.47993042,1.436693115,
316,0.04211193,0.04211193,0.479961548,1.437459106,
317,0.042245241,0.042245241,0.47993042,1.438378296,
318,0.042378552,0.042378552,0.47993042,1.438991089,
319,0.042511864,0.042511864,0.47993042,1.439910278,
320,0.042645176,0.042645176,0.479899292,1.44067627,
321,0.042778487,0.042778487,0.479899292,1.441748657,
322,0.0429118,0.0429118,0.479899292,1.442514648,
323,0.043045113,0.043045113,0.47993042,1.443433838,
324,0.043178426,0.043178426,0.47993042,1.444353027,
325,0.043311738,0.043311738,0.479899292,1.445272217,
326,0.04344505,0.04344505,0.47993042,1.44588501,
327,0.043578365,0.043578365,0.479899292,1.446651001,
328,0.043711679,0.043711679,0.479961548,1.44757019,
329,0.043844989,0.043844989,0.479899292,1.448336182,
330,0.043978301,0.043978301,0.47993042,1.449102173,
331,0.044111613,0.044111613,0.479899292,1.450021362,
332,0.044244926,0.044244926,0.47993042,1.450787354,
333,0.044378238,0.044378238,0.479899292,1.451400146,
334,0.044511551,0.044511551,0.479899292,1.452166138,
335,0.044644864,0.044644864,0.47993042,1.452778931,
336,0.044778176,0.044778176,0.479899292,1.453544922,
337,0.044911488,0.044911488,0.479899292,1.454157715,
338,0.045044799,0.045044799,0.479899292,1.454923706,
339,0.045178111,0.045178111,0.47993042,1.455842896,
340,0.045311422,0.045311422,0.47993042,1.456608887,
341,0.045444672,0.045444672,0.479619141,1.45722168,
342,0.045577891,0.045577891,0.479588013,1.457987671,
343,0.04571111,0.04571111,0.479588013,1.458600464,
344,0.04584433,0.04584433,0.479619141,1.459519653,
345,0.045977551,0.045977551,0.479588013,1.460132446,
346,0.046110771,0.046110771,0.479619141,1.460898438,
347,0.04624399,0.04624399,0.479588013,1.46151123,
348,0.046377209,0.046377209,0.479588013,1.462124023,
349,0.046510428,0.046510428,0.479556885,1.462736816,
350,0.046643647,0.046643647,0.479588013,1.463502808,
351,0.046776867,0.046776867,0.479588013,1.464115601,
352,0.046910087,0.046910087,0.479588013,1.464881592,
353,0.047043307,0.047043307,0.479588013,1.465494385,
354,0.047176526,0.047176526,0.479556885,1.466107178,
355,0.047309747,0.047309747,0.479588013,1.466873169,
356,0.047442966,0.047442966,0.479619141,1.467485962,
357,0.047576187,0.047576187,0.479588013,1.468098755,
358,0.047709407,0.047709407,0.479588013,1.468711548,
359,0.047842627,0.047842627,0.479556885,1.469630737,
360,0.047975846,0.047975846,0.479619141,1.470396729,
361,0.048109065,0.048109065,0.479619141,1.47116272,
362,0.048242285,0.048242285,0.479619141,1.471622314,
363,0.048375505,0.048375505,0.479588013,1.472388306,
364,0.048508726,0.048508726,0.479588013,1.4728479,
365,0.048641946,0.048641946,0.479588013,1.473460693,
366,0.048775167,0.048775167,0.479588013,1.474226685,
367,0.048908388,0.048908388,0.479588013,1.474839478,
368,0.049041607,0.049041607,0.479619141,1.475452271,
369,0.049174828,0.049174828,0.479619141,1.476218262,
370,0.04930805,0.04930805,0.479556885,1.476984253,
371,0.04944127,0.04944127,0.479588013,1.477443848,
372,0.049574489,0.049574489,0.479588013,1.478209839,
373,0.04970771,0.04970771,0.479588013,1.478669434,
374,0.04984093,0.04984093,0.479588013,1.479129028,
375,0.049974169,0.049974169,0.479805908,1.480048218,
376,0.050107456,0.050107456,0.479899292,1.480661011,
377,0.050240768,0.050240768,0.479899292,1.481427002,
378,0.050374079,0.050374079,0.479899292,1.482192993,
379,0.05050739,0.05050739,0.47993042,1.482652588,
380,0.0506407,0.0506407,0.47993042,1.483418579,
381,0.05077401,0.05077401,0.47993042,1.484031372,
382,0.050907321,0.050907321,0.47993042,1.484797363,
383,0.051040632,0.051040632,0.47993042,1.48510376,
384,0.051173942,0.051173942,0.479961548,1.485869751,
385,0.051307254,0.051307254,0.479899292,1.486176147,
386,0.051440567,0.051440567,0.47993042,1.48678894,
387,0.051573879,0.051573879,0.47993042,1.487554932,
388,0.05170719,0.05170719,0.479899292,1.488014526,
389,0.051840503,0.051840503,0.47993042,1.488474121,
390,0.051973816,0.051973816,0.47993042,1.489240112,
391,0.052107126,0.052107126,0.47993042,1.489852905,
392,0.052240437,0.052240437,0.479899292,1.4903125,
393,0.05237375,0.05237375,0.47993042,1.491078491,
394,0.05250706,0.05250706,0.47993042,1.491997681,
395,0.05264037,0.05264037,0.47993042,1.492304077,
396,0.052773682,0.052773682,0.47993042,1.49291687,
397,0.052906993,0.052906993,0.479899292,1.493529663,
398,0.053040304,0.053040304,0.47993042,1.493989258,
399,0.053173616,0.053173616,0.47993042,1.494755249,
400,0.053306926,0.053306926,0.47993042,1.495214844,
401,0.053440237,0.053440237,0.47993042,1.495980835,
402,0.053573549,0.053573549,0.479899292,1.496593628,
403,0.05370686,0.05370686,0.47993042,1.497206421,
404,0.053840172,0.053840172,0.479899292,1.497512817,
405,0.053973483,0.053973483,0.47993042,1.498278809,
406,0.054106794,0.054106794,0.47993042,1.498891602,
407,0.054240106,0.054240106,0.47993042,1.499351196,
408,0.054373417,0.054373417,0.479899292,1.499810791,
409,0.054506729,0.054506729,0.47993042,1.500576782,
410,0.054640039,0.054640039,0.47993042,1.501189575,
411,0.054773304,0.054773304,0.479588013,1.501495972,
412,0.054906523,0.054906523,0.479556885,1.502261963,
413,0.055039744,0.055039744,0.479619141,1.502721558,
414,0.055172965,0.055172965,0.479556885,1.503334351,
415,0.055306185,0.055306185,0.479588013,1.503793945,
416,0.055439405,0.055439405,0.479588013,1.504406738,
417,0.055572623,0.055572623,0.479588013,1.505019531,
418,0.055705841,0.055705841,0.479588013,1.505479126,
419,0.055839061,0.055839061,0.479588013,1.506091919,
420,0.055972281,0.055972281,0.479588013,1.506551514,
421,0.0561055,0.0561055,0.479588013,1.507470703,
422,0.056238719,0.056238719,0.479588013,1.507930298,
423,0.056371937,0.056371937,0.479556885,1.508389893,
424,0.056505157,0.056505157,0.479588013,1.509002686,
425,0.056638377,0.056638377,0.479588013,1.509615479,
426,0.056771596,0.056771596,0.479588013,1.510075073,
427,0.056904817,0.056904817,0.479588013,1.510687866,
428,0.057038036,0.057038036,0.479588013,1.511147461,
429,0.057171255,0.057171255,0.479588013,1.511760254,
430,0.057304475,0.057304475,0.479588013,1.512373047,
431,0.057437695,0.057437695,0.479588013,1.512832642,
432,0.057570914,0.057570914,0.479588013,1.513445435,
433,0.057704134,0.057704134,0.479619141,1.513905029,
434,0.057837355,0.057837355,0.479588013,1.514671021,
435,0.057970576,0.057970576,0.479556885,1.515130615,
436,0.058103796,0.058103796,0.479588013,1.515743408,
437,0.058237015,0.058237015,0.479556885,1.516049805,
438,0.058370236,0.058370236,0.479588013,1.516815796,
439,0.058503456,0.058503456,0.479588013,1.517275391,
440,0.058636675,0.058636675,0.479588013,1.517888184,
441,0.058769895,0.058769895,0.479619141,1.51819458,
442,0.058903116,0.058903116,0.479588013,1.518960571,
443,0.059036336,0.059036336,0.479619141,1.519420166,
444,0.059169556,0.059169556,0.479588013,1.520032959,
445,0.059302806,0.059302806,0.479837036,1.520492554,
446,0.0594361,0.0594361,0.479868164,1.521411743,
447,0.059569411,0.059569411,0.479961548,1.52171814,
448,0.059702723,0.059702723,0.47993042,1.522330933,
449,0.059836034,0.059836034,0.479899292,1.522790527,
450,0.059969347,0.059969347,0.479899292,1.523250122,
451,0.060102657,0.060102657,0.479899292,1.524169312,
452,0.060235968,0.060235968,0.47993042,1.524628906,
453,0.060369281,0.060369281,0.479899292,1.525241699,
454,0.060502591,0.060502591,0.47993042,1.525701294,
455,0.060635902,0.060635902,0.479899292,1.52600769,
456,0.060769214,0.060769214,0.47993042,1.526467285,
457,0.060902526,0.060902526,0.479899292,1.527233276,
458,0.061035838,0.061035838,0.479899292,1.527846069,
459,0.061169149,0.061169149,0.47993042,1.528458862,
460,0.061302461,0.061302461,0.47993042,1.528918457,
461,0.061435773,0.061435773,0.479899292,1.529378052,
462,0.061569084,0.061569084,0.47993042,1.529990845,
